word,count
fuck,132715
suck,83875
page,69444
faggot,66057
article,65569
like,62234
wikipedia,61821
dont,61121
go,54538
nigger,49123
shit,48139
die,46828
u,41880
know,41072
one,40930
as,40733
people,39646
get,37454
im,36333
hate,35292
fucking,33052
fat,32454
would,31925
fag,30946
gay,30716
dick,30694
think,30252
time,30112
wiki,30091
please,29332
talk,28908
jew,28499
cunt,27994
going,26735
make,26118
see,25386
stop,25223
youre,24865
even,24722
want,24656
penis,24616
block,23984
edit,23876
user,22778
also,22585
say,22384
source,20255
right,20212
huge,19744
cock,19642
