word,count
fuck,84698
article,56529
page,56072
wikipedia,54308
like,53664
dont,52648
suck,45723
u,35903
go,35419
one,35335
know,34540
shit,34281
people,34207
get,33873
nigger,33387
im,32319
faggot,31539
fucking,30608
would,27835
think,26380
hate,26363
time,24909
as,24883
please,24707
make,23017
youre,22463
talk,22042
see,21910
want,21230
gay,21192
stop,20647
even,20600
edit,20600
say,19618
also,19554
block,19513
user,18564
die,17821
fat,17417
source,17209
right,16985
cunt,16961
thing,16887
jew,16346
hi,15994
moron,15828
way,15669
good,15612
well,15566
need,15422
